isolate_id	study_accession	sample_accession	experiment_accession	id	submission_accession	run_alias	fastq_ftp	sra_ftp	AMP	AMP_clsi	AMP_ecoff	AMP_eucast	CHL	CHL_clsi	CHL_ecoff	CHL_eucast	CIP	CIP_clsi	CIP_ecoff	CIP_eucast	CPM	CPM_clsi	CPM_ecoff	CPM_eucast	CST	CST_clsi	CST_ecoff	CST_eucast	CTX	CTX_clsi	CTX_ecoff	CTX_eucast	CTZ	CTZ_clsi	CTZ_ecoff	CTZ_eucast	ETP	ETP_clsi	ETP_ecoff	ETP_eucast	FOX	FOX_clsi	FOX_ecoff	FOX_eucast	GEN	GEN_clsi	GEN_ecoff	GEN_eucast	IMP	IMP_clsi	IMP_ecoff	IMP_eucast	MER	MER_clsi	MER_ecoff	MER_eucast	NAL	NAL_clsi	NAL_ecoff	NAL_eucast	SMZ	SMZ_clsi	SMZ_ecoff	SMZ_eucast	TET	TET_clsi	TET_ecoff	TET_eucast	TMP	TMP_clsi	TMP_ecoff	TMP_eucast
DTU2017-833-PRJ1111-Escherischia-coli-360-16038972_S14_L001_R1_001	PRJEB22091	SAMEA104205923	ERX2148125	ERR2091331	ERA984054	Run_2017_8_8_12_24_2_run28	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091331/ERR2091331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091331/ERR2091331_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/001/ERR2091331	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	32.0	R	R	R	1.0		S	S	64.0	R	R	R	2.0	S	R	I	0.015	S	S	S	4.0	S	S		0.5	S	S	S	0.125	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			2.0	S	S		32.0	R	R	R
DTU2017-834-PRJ1111-Escherischia-coli-360-16039247_S15_L001_R1_001	PRJEB22091	SAMEA104205924	ERX2148126	ERR2091332	ERA984054	Run_2017_8_8_12_24_2_run29	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/002/ERR2091332/ERR2091332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/002/ERR2091332/ERR2091332_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/002/ERR2091332	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	16.0	R	R	R	1.0		S	S	32.0	R	R	R	1.0	S	R	S	0.06	S	S	S	8.0	S	S		1.0	S	S	S	0.125	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			2.0	S	S		32.0	R	R	R
DTU2017-835-PRJ1111-Escherischia-coli-360-16039255_S16_L001_R1_001	PRJEB22091	SAMEA104205925	ERX2148127	ERR2091333	ERA984054	Run_2017_8_8_12_24_2_run30	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/003/ERR2091333/ERR2091333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/003/ERR2091333/ERR2091333_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/003/ERR2091333	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	32.0	R	R	R	1.0		S	S	64.0	R	R	R	4.0	S	R	I	0.03	S	S	S	4.0	S	S		0.5	S	S	S	0.125	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			2.0	S	S		32.0	R	R	R
DTU2017-836-PRJ1111-Escherischia-coli-360-16039256_S17_L001_R1_001	PRJEB22091	SAMEA104205926	ERX2148128	ERR2091334	ERA984054	Run_2017_8_8_12_24_2_run31	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/004/ERR2091334/ERR2091334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/004/ERR2091334/ERR2091334_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/004/ERR2091334	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	0.25	S	R	S	1.0		S	S	8.0	R	R	R	8.0	I	R	R	0.03	S	S	S	64.0	R	R		32.0	R	R	R	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			64.0	R	R		0.25	S	S	S
DTU2017-837-PRJ1111-Escherischia-coli-360-16039314_S18_L001_R1_001	PRJEB22091	SAMEA104205927	ERX2148129	ERR2091335	ERA984054	Run_2017_8_8_12_24_2_run32	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/005/ERR2091335/ERR2091335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/005/ERR2091335/ERR2091335_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/005/ERR2091335	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	16.0	R	R	R	1.0		S	S	32.0	R	R	R	1.0	S	R	S	0.015	S	S	S	4.0	S	S		0.5	S	S	S	0.125	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			2.0	S	S		32.0	R	R	R
DTU2017-838-PRJ1111-Escherischia-coli-360-16039410_S19_L001_R1_001	PRJEB22091	SAMEA104205928	ERX2148130	ERR2091336	ERA984054	Run_2017_8_8_12_24_2_run33	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/006/ERR2091336/ERR2091336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/006/ERR2091336/ERR2091336_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/006/ERR2091336	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	4.0	I	R	I	1.0		S	S	16.0	R	R	R	1.0	S	R	S	0.015	S	S	S	4.0	S	S		0.5	S	S	S	0.125	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			64.0	R	R		32.0	R	R	R
DTU2017-839-PRJ1111-Escherischia-coli-360-16039413_S20_L001_R1_001	PRJEB22091	SAMEA104205929	ERX2148131	ERR2091337	ERA984054	Run_2017_8_8_12_24_2_run34	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/007/ERR2091337/ERR2091337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/007/ERR2091337/ERR2091337_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/007/ERR2091337	64.0	R	R	R	8.0	S	S	S	0.5	I	R	I	32.0	R	R	R	1.0		S	S	64.0	R	R	R	4.0	S	R	I	0.06	S	S	S	16.0	I	R		0.5	S	S	S	0.25	S	S	S	0.03	S	S	S	128.0	R	R		1024.0	R			64.0	R	R		32.0	R	R	R
DTU2017-840-PRJ1111-Escherischia-coli-360-16039582_S21_L001_R1_001	PRJEB22091	SAMEA104205930	ERX2148132	ERR2091338	ERA984054	Run_2017_8_8_12_24_2_run35	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/008/ERR2091338/ERR2091338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/008/ERR2091338/ERR2091338_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/008/ERR2091338	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	16.0	R	R	R	1.0		S	S	32.0	R	R	R	2.0	S	R	I	0.015	S	S	S	4.0	S	S		0.5	S	S	S	0.125	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			2.0	S	S		32.0	R	R	R
DTU2017-841-PRJ1111-Escherischia-coli-360-16040938_S22_L001_R1_001	PRJEB22091	SAMEA104205931	ERX2148133	ERR2091339	ERA984054	Run_2017_8_8_12_24_2_run36	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/009/ERR2091339/ERR2091339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/009/ERR2091339/ERR2091339_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/009/ERR2091339	64.0	R	R	R	8.0	S	S	S	0.03	S	S	S	8.0	I	R	R	1.0		S	S	16.0	R	R	R	1.0	S	R	S	0.015	S	S	S	8.0	S	S		1.0	S	S	S	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			2.0	S	S		0.5	S	S	S
DTU2017-842-PRJ1111-Escherischia-coli-360-16041103_S23_L001_R1_001	PRJEB22091	SAMEA104205932	ERX2148134	ERR2091340	ERA984054	Run_2017_8_8_12_24_2_run37	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/000/ERR2091340/ERR2091340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/000/ERR2091340/ERR2091340_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/000/ERR2091340	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	16.0	R	R	R	1.0		S	S	32.0	R	R	R	2.0	S	R	I	0.015	S	S	S	8.0	S	S		0.5	S	S	S	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			64.0	R	R		0.25	S	S	S
